reviewer,article,content,sugestion,decision
Dariusz Fabianowski,A Study of Search Intermediary Working Notes: Implications for IR System Design.,content review,some sugestion,accepted
K. R. Ramakrishnan,A Study of Search Intermediary Working Notes: Implications for IR System Design.,content review,some sugestion,accepted
Babak Farzad,A Study of Search Intermediary Working Notes: Implications for IR System Design.,content review,some sugestion,not accepted
David T. Wong,Downlink Resource Sharing in Multichannel Device-to-Device Communication.,content review,some sugestion,accepted
Akira Suzuki,Downlink Resource Sharing in Multichannel Device-to-Device Communication.,content review,some sugestion,accepted
Chaojiang Wu,Downlink Resource Sharing in Multichannel Device-to-Device Communication.,content review,some sugestion,not accepted
Gabriel M. Silberman,Association between triallelic polymorphism of the serotonin transporter and [,content review,some sugestion,accepted
Aida Pliuskeviciene,Association between triallelic polymorphism of the serotonin transporter and [,content review,some sugestion,accepted
Robert Finger,Association between triallelic polymorphism of the serotonin transporter and [,content review,some sugestion,not accepted
Arun Mittal,Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.,content review,some sugestion,accepted
Huijun Wu,Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.,content review,some sugestion,accepted
Jan Camenisch,Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.,content review,some sugestion,not accepted
Bettina Klaus,Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,content review,some sugestion,accepted
Anton Schiela,Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,content review,some sugestion,accepted
Amaro de Sousa,Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,content review,some sugestion,not accepted
Di Li 0003,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,content review,some sugestion,accepted
Vera Tilson,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,content review,some sugestion,accepted
E. A. Mary Anita,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,content review,some sugestion,not accepted
Hady Pranoto,A finite characterization of,content review,some sugestion,accepted
Vera Tilson,A finite characterization of,content review,some sugestion,accepted
N. C. Simpson,A finite characterization of,content review,some sugestion,not accepted
Di Li 0003,On weighted unbalanced linguistic aggregation operators in group decision making.,content review,some sugestion,accepted
David Perry,On weighted unbalanced linguistic aggregation operators in group decision making.,content review,some sugestion,accepted
Arturo Molina 0001,On weighted unbalanced linguistic aggregation operators in group decision making.,content review,some sugestion,not accepted
Akira Suzuki,Entanglement cost of generalised measurements.,content review,some sugestion,accepted
Arun Mittal,Entanglement cost of generalised measurements.,content review,some sugestion,accepted
Adriano Meta,Entanglement cost of generalised measurements.,content review,some sugestion,not accepted
Anita Schöbel,A method to optimize evacuation instructions.,content review,some sugestion,accepted
Osama Rashed Sayed,A method to optimize evacuation instructions.,content review,some sugestion,accepted
David T. Wong,A method to optimize evacuation instructions.,content review,some sugestion,not accepted
Diogo Poças,FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.,content review,some sugestion,accepted
S. Twomey,FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.,content review,some sugestion,accepted
Luca Schenato 0001,FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.,content review,some sugestion,not accepted
Duyan Bi,tvReg: Time-varying Coefficients in Multi-Equation Regression in R.,content review,some sugestion,accepted
Dinesh Manocha,tvReg: Time-varying Coefficients in Multi-Equation Regression in R.,content review,some sugestion,accepted
Qiqi Wang,tvReg: Time-varying Coefficients in Multi-Equation Regression in R.,content review,some sugestion,not accepted
Theodosios Pavlidis,PANFIS: A Novel Incremental Learning Machine.,content review,some sugestion,accepted
Keecheon Kim,PANFIS: A Novel Incremental Learning Machine.,content review,some sugestion,accepted
Luca Schenato 0001,PANFIS: A Novel Incremental Learning Machine.,content review,some sugestion,not accepted
Amir Bozorgzadeh,Advancing the Boundaries of Higher Education in Arizona Using the World Wide Web.,content review,some sugestion,accepted
Dariusz Fabianowski,Advancing the Boundaries of Higher Education in Arizona Using the World Wide Web.,content review,some sugestion,accepted
M. I. Cohen,Advancing the Boundaries of Higher Education in Arizona Using the World Wide Web.,content review,some sugestion,not accepted
N. C. Simpson,An efficiently computable subgraph pattern support measure: counting independent observations.,content review,some sugestion,accepted
Hidehisa Yoshida,An efficiently computable subgraph pattern support measure: counting independent observations.,content review,some sugestion,accepted
Hermano Frid,An efficiently computable subgraph pattern support measure: counting independent observations.,content review,some sugestion,not accepted
John T. Fredricksen,Review.,content review,some sugestion,accepted
Abbas Heydari,Review.,content review,some sugestion,accepted
Erik Meineche Schmidt,Review.,content review,some sugestion,not accepted
Arthur J. Davidson,A neurophysiological approach to assess training outcome under stress: A virtual reality experiment of industrial shutdown maintenance using Functional Near-Infrared Spectroscopy (fNIRS).,content review,some sugestion,accepted
M. I. Cohen,A neurophysiological approach to assess training outcome under stress: A virtual reality experiment of industrial shutdown maintenance using Functional Near-Infrared Spectroscopy (fNIRS).,content review,some sugestion,accepted
Fabian Rothmaier,A neurophysiological approach to assess training outcome under stress: A virtual reality experiment of industrial shutdown maintenance using Functional Near-Infrared Spectroscopy (fNIRS).,content review,some sugestion,not accepted
Gabriel M. Silberman,An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,content review,some sugestion,accepted
Ming Zhang,An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,content review,some sugestion,accepted
Dok Nam Lee,An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,content review,some sugestion,not accepted
Duyan Bi,LexBFS-orderings and powers of chordal graphs.,content review,some sugestion,accepted
Qiqi Wang,LexBFS-orderings and powers of chordal graphs.,content review,some sugestion,accepted
Theodosios Pavlidis,LexBFS-orderings and powers of chordal graphs.,content review,some sugestion,not accepted
Keecheon Kim,LEDGERBENCH: A Framework for Benchmarking Ledger Databases.,content review,some sugestion,accepted
Daniel Cullina,LEDGERBENCH: A Framework for Benchmarking Ledger Databases.,content review,some sugestion,accepted
Theodosios Pavlidis,LEDGERBENCH: A Framework for Benchmarking Ledger Databases.,content review,some sugestion,not accepted
Hai-Wei Sun,DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,content review,some sugestion,accepted
Heike Siebert,DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,content review,some sugestion,accepted
Haowei Xu,DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,content review,some sugestion,not accepted
David Dagan Feng,On strong edge-colouring of subcubic graphs.,content review,some sugestion,accepted
Daniela Guaiana,On strong edge-colouring of subcubic graphs.,content review,some sugestion,accepted
Arthur J. Davidson,On strong edge-colouring of subcubic graphs.,content review,some sugestion,not accepted
Le Deng,Confidence intervals for an ordinal effect size measure based on partially validated series.,content review,some sugestion,accepted
Adriano Meta,Confidence intervals for an ordinal effect size measure based on partially validated series.,content review,some sugestion,accepted
Haowei Xu,Confidence intervals for an ordinal effect size measure based on partially validated series.,content review,some sugestion,not accepted
Akira Suzuki,Novel technique for preprocessing high dimensional time-course data from DNA microarray: mathematical model-based clustering.,content review,some sugestion,accepted
Huiqin Xie,Novel technique for preprocessing high dimensional time-course data from DNA microarray: mathematical model-based clustering.,content review,some sugestion,accepted
Lukasz Maksymiuk,Novel technique for preprocessing high dimensional time-course data from DNA microarray: mathematical model-based clustering.,content review,some sugestion,not accepted
Constant Solimando,Solitary wave simulations of Complex Modified Korteweg-de Vries Equation using differential quadrature method.,content review,some sugestion,accepted
