reviewer,article
Akira Suzuki,The Questioning Turing Test.
Jan Camenisch,The Questioning Turing Test.
Hermano Frid,A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.
Chi-Wang Shu,A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.
Fabio Nobile,A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.
Fabio Nobile,Science in the Cloud: Allocation and Execution of Data-Intensive Scientific Workflows.
Jan Camenisch,Science in the Cloud: Allocation and Execution of Data-Intensive Scientific Workflows.
Jiang Ma,Science in the Cloud: Allocation and Execution of Data-Intensive Scientific Workflows.
Dinesh Manocha,Local stability analysis for continuous-time Takagi-Sugeno fuzzy systems with time delay.
Louise A. Mawn,Local stability analysis for continuous-time Takagi-Sugeno fuzzy systems with time delay.
Jiang Ma,Local stability analysis for continuous-time Takagi-Sugeno fuzzy systems with time delay.
S. Twomey,Characterization of unlabeled level planar trees.
Arthur J. Davidson,Characterization of unlabeled level planar trees.
Dan Suciu,Characterization of unlabeled level planar trees.
Renbiao Wu,A Study of Chaotic Maps Producing Symmetric Distributions in the Fish School Search Optimization Algorithm with Exponential Step Decay.
Kanad Chakraborty,A Study of Chaotic Maps Producing Symmetric Distributions in the Fish School Search Optimization Algorithm with Exponential Step Decay.
Roy Edgar Hansen,A Study of Chaotic Maps Producing Symmetric Distributions in the Fish School Search Optimization Algorithm with Exponential Step Decay.
Renbiao Wu,Coalition-Based Cooperative Packet Delivery under Uncertainty: A Dynamic Bayesian Coalitional Game.
Ming Zhang,Coalition-Based Cooperative Packet Delivery under Uncertainty: A Dynamic Bayesian Coalitional Game.
Amir Shmuel,Coalition-Based Cooperative Packet Delivery under Uncertainty: A Dynamic Bayesian Coalitional Game.
Abbas Heydari,Recognition of abdominal organs using 3D mathematical morphology.
K. R. Ramakrishnan,Recognition of abdominal organs using 3D mathematical morphology.
S. Twomey,Recognition of abdominal organs using 3D mathematical morphology.
Huiqin Xie,Editorial Foreword.
Arthur J. Davidson,Editorial Foreword.
Chih-Yuan Yao,Editorial Foreword.
C. G. Parthipan,Properties of 
Daniel Cullina,Properties of 
David Alan Grier,Properties of 
Keecheon Kim,Rate-distortion theory applied to automatic object recognition.
Dok Nam Lee,Rate-distortion theory applied to automatic object recognition.
Roy Edgar Hansen,Rate-distortion theory applied to automatic object recognition.
Chih-Yuan Yao,Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.
John T. Fredricksen,Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.
Dan Suciu,Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.
Fabio Nobile,An Extremal Problem on Sparse 0-1 Matrices.
Vera Tilson,An Extremal Problem on Sparse 0-1 Matrices.
Erik Meineche Schmidt,An Extremal Problem on Sparse 0-1 Matrices.
Robert Finger,Hybrid Reduced-Complexity Multiuser Detector for CDMA Communication Systems.
Bita Alipasandi,Hybrid Reduced-Complexity Multiuser Detector for CDMA Communication Systems.
Le Deng,Hybrid Reduced-Complexity Multiuser Detector for CDMA Communication Systems.
Theodosios Pavlidis,Multipath Routing for Video Streaming inWireless Mesh Networks.
K. R. Ramakrishnan,Multipath Routing for Video Streaming inWireless Mesh Networks.
C. G. Parthipan,Multipath Routing for Video Streaming inWireless Mesh Networks.
Cynthia Jane Solomon,Improved field localization in transcranial magnetic stimulation of the brain with the utilization of a conductive shield plate in the stimulator.
Haowei Xu,Improved field localization in transcranial magnetic stimulation of the brain with the utilization of a conductive shield plate in the stimulator.
N. C. Simpson,Improved field localization in transcranial magnetic stimulation of the brain with the utilization of a conductive shield plate in the stimulator.
C. G. Parthipan,Observer-Based Consensus Protocol for Directed Switching Networks With a Leader of Nonzero Inputs.
Chaojiang Wu,Observer-Based Consensus Protocol for Directed Switching Networks With a Leader of Nonzero Inputs.
Arthur J. Davidson,Observer-Based Consensus Protocol for Directed Switching Networks With a Leader of Nonzero Inputs.
Arthur J. Davidson,Private and rateless adaptive coded matrix-vector multiplication.
Ming Zhang,Private and rateless adaptive coded matrix-vector multiplication.
Diogo Poças,Private and rateless adaptive coded matrix-vector multiplication.
Naohisa Komatsu,In silico evaluation of the influence of the translocon on partitioning of membrane segments.
K. R. Ramakrishnan,In silico evaluation of the influence of the translocon on partitioning of membrane segments.
Hermano Frid,In silico evaluation of the influence of the translocon on partitioning of membrane segments.
David Dagan Feng,Privacy-Preserving Analysis for Remote Video Anomaly Detection in Real Life Environments.
Arthur J. Davidson,Privacy-Preserving Analysis for Remote Video Anomaly Detection in Real Life Environments.
Karl-Heinz Best,Privacy-Preserving Analysis for Remote Video Anomaly Detection in Real Life Environments.
Louise A. Mawn,Mercer and Wu-Srivastava generalisations of Steffensen's inequality.
Lukasz Maksymiuk,Mercer and Wu-Srivastava generalisations of Steffensen's inequality.
Hai-Wei Sun,Mercer and Wu-Srivastava generalisations of Steffensen's inequality.
Erik Meineche Schmidt,Bridging gaps in handoffs: A continuity of care based approach.
Arturo Molina 0001,Bridging gaps in handoffs: A continuity of care based approach.
Dok Nam Lee,Bridging gaps in handoffs: A continuity of care based approach.
K. R. Ramakrishnan,Editorial: Supporting healthcare reform with augmented electronic medical records system.
Arthur J. Davidson,Editorial: Supporting healthcare reform with augmented electronic medical records system.
Naohisa Komatsu,Editorial: Supporting healthcare reform with augmented electronic medical records system.
Roy Edgar Hansen,A Smart Work Performance Measurement System for Police Officers.
Bettina Klaus,A Smart Work Performance Measurement System for Police Officers.
Kwok-Kai Soo,A Smart Work Performance Measurement System for Police Officers.
Christopher I. Amos,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
Amaro de Sousa,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
Wirt Atmar,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
Ahmed M. Mohamed,MR-ELM: a MapReduce-based framework for large-scale ELM training in big data era.
Hai-Wei Sun,MR-ELM: a MapReduce-based framework for large-scale ELM training in big data era.
Robert Finger,MR-ELM: a MapReduce-based framework for large-scale ELM training in big data era.
Hidehisa Yoshida,On the non-idealness of cyclotomic families of pairing-friendly elliptic curves.
Norman F. Schneidewind,On the non-idealness of cyclotomic families of pairing-friendly elliptic curves.
Danni Zhu,On the non-idealness of cyclotomic families of pairing-friendly elliptic curves.
Diogo Poças,A Novel Emulation Model of the Cardiac Conduction System.
David Dagan Feng,A Novel Emulation Model of the Cardiac Conduction System.
Adel El-Faraskoury,A Novel Emulation Model of the Cardiac Conduction System.
Chi-Sang Jung,A group key-policy attribute-based encryption with partial outsourcing decryption in wireless sensor networks.
Roy Edgar Hansen,A group key-policy attribute-based encryption with partial outsourcing decryption in wireless sensor networks.
S. Twomey,A group key-policy attribute-based encryption with partial outsourcing decryption in wireless sensor networks.
Duyan Bi,Learning to detect and understand drug discontinuation events from clinical narratives.
David T. Wong,Learning to detect and understand drug discontinuation events from clinical narratives.
Daniel Troy,Learning to detect and understand drug discontinuation events from clinical narratives.
Dan Suciu,Sampling issues in quantitative analysis of dendritic spines morphology.
Fabian Rothmaier,Sampling issues in quantitative analysis of dendritic spines morphology.
Ilan Abramovici,Sampling issues in quantitative analysis of dendritic spines morphology.
Dinesh Manocha,Landscape and Dynamics of the Transcriptional Regulatory Network During Natural Killer Cell Differentiation.
Lianjun Xiao,Landscape and Dynamics of the Transcriptional Regulatory Network During Natural Killer Cell Differentiation.
Cynthia Jane Solomon,Landscape and Dynamics of the Transcriptional Regulatory Network During Natural Killer Cell Differentiation.
Moulay A. Barkatou,Absolutely expedient imitative behavior.
Constant Solimando,Absolutely expedient imitative behavior.
Anton Schiela,Absolutely expedient imitative behavior.
Hen-Wai Tsao,Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.
Heike Siebert,Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.
Roy Edgar Hansen,Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.
Kanad Chakraborty,A multi-granularity heuristic-combining approach for censorship circumvention activity identification.
Hen-Wai Tsao,A multi-granularity heuristic-combining approach for censorship circumvention activity identification.
Chi-Sang Jung,A multi-granularity heuristic-combining approach for censorship circumvention activity identification.
Arvind Ramanathan,Prosody-driven Sentence Processing: An Event-related Brain Potential Study.
Roy Edgar Hansen,Prosody-driven Sentence Processing: An Event-related Brain Potential Study.
Fabio Nobile,Prosody-driven Sentence Processing: An Event-related Brain Potential Study.
Kanad Chakraborty,KeyWords Plus - Algorithmic Derivative Indexing.
Louise A. Mawn,KeyWords Plus - Algorithmic Derivative Indexing.
Daniel Cullina,KeyWords Plus - Algorithmic Derivative Indexing.
Hady Pranoto,Learning Security QA from the Vulnerability Researchers.
Aku Riihelä,Learning Security QA from the Vulnerability Researchers.
Alper Korkmaz,Learning Security QA from the Vulnerability Researchers.
Huiqin Xie,Feedback control for rotational movements in feature space.
C. G. Parthipan,Feedback control for rotational movements in feature space.
Arturo Molina 0001,Feedback control for rotational movements in feature space.
Osama Rashed Sayed,"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface."
Chia-Lung Yeh,"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface."
Ahmed M. Mohamed,"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface."
